,,,,,,,,,,
Lab section,Time of observation,Incubation temperature,Total # embryos at each stage,Max. developmental stage reached,Any notable features?,Surviving at 24 hrs post fertilization? (Yes or No),,,,
L02,24 hrs post-fertilization (p.f.),18,5,11 to 11.5,yolk plug sometimes visible,Y,* 24 hrs p.f. = Day 2,,,
L03,24 hrs p.f.,18,21,12 to 12.5,late gastrula / early neurula (see signs of neural plate),Y,,,,
L02,24 hrs p.f.,23,6,19 to 20,"clear signs of neurulation, elongation of embryo (no longer spherical)",Y,,,,
L03,24 hrs p.f.,23,11,19 to 20,end of neurulation,Y,,,,
,,,,,,,,,,
L02,48 hrs p.f.,18,5,22 to 24,"clear signs of elongation, body axes formation",Y,,,,
L03,48 hrs p.f.,18,2,18 to 19,,Y,,,,
L03,48 hrs p.f.,18,16,22 to 24,visibly elongated,Y,,,,
L03,48 hrs p.f.,18,2,24,,Y,,,,
L02,48 hrs p.f.,23,6,33 to 34,,Y,,,,
L03,48 hrs p.f.,23,11,33 to 35,,Y,,,,
,,,,,,,,,,
L02,72 hrs p.f.,18,5,33 to 34,,Y,** Stella's data,,,
L02,72 hrs p.f.,23,6,42,,Y,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
