,,,,,,,,
Student ID,Incubation temperature,Total # embryos in dish,Max. developmental stage reached,Surviving at 24 hrs post fertilization? (Yes or No),,,,
1,18,13,7 to 8,N,,,,
2,18,28,7 to 8,N,,,,
3,18,30,N/A,N,,,,
4,18,14,N/A,N,,,,
5,18,29,7 to 8,N,,,,
6,18,21,7 to 8,N,,,,
7,18,48,7 to 8,N,,,,
8,18,6,7 to 8,N,,,,
9,18,39,7 to 8,N,,,,
10,18,50,7 to 8,N,,,,
11,18,16,7 to 8,N,,,,
12,18,6,7 to 8,N,,,,
13,18,18,7 to 8,N,,,,
14,,no data from this student,,,,,,
15,18,38,7 to 8,N,,,,
16,18,29,7 to 8,N,,,,
17,18,12,7 to 8,N,,,,
18,18,14,7 to 8,N,,,,
19,18,6,7 to 8,N,,,,
20,,no data from this student,,,,,,
21,18,33,7 to 8,N,,,,
22,18,28,7 to 8,N,,,,
23,18,26,7 to 8,N,,,,
24,18,4,7 to 8,N,,,,
25,,no data from this student,,,,,,
26,,no data from this student,,,,,,
27,18,1,7 to 8,N,,,,
28,18,5,7 to 8,N,,,,
29,18,21,7 to 8,N,,,,
30,18,11,7 to 8,N,,,,
31,18,14,7 to 8,N,,,,
32,18,11,7 to 8,N,,,,
33,,no data from this student,,,,,,
34,,no data from this student,,,,,,
,,,,,,,,
a,23,37,7 to 8,N,,,,
b,23,24,7 to 8,N,,,,
c,23,26,N/A,N,,,,
d,23,16,N/A,N,,,,
e,23,42,7 to 8,N,,,,
f,23,24,7 to 8,N,,,,
g,23,7,7 to 8,N,,,,
h,23,23,7 to 8,N,,,,
i,23,16,7 to 8,N,,,,
j,23,17,7 to 8,N,,,,
k,23,29,7 to 8,N,,,,
l,23,31,7 to 8,N,,,,
m,,no data,,,,,,
n,,,,,,,,
o,23,23,7 to 8,N,,,,
p,23,40,7 to 8,N,,,,
q,23,12,7 to 8,N,,,,
r,23,17,7 to 8,N,,,,
s,23,5,7 to 8,N,,,,
t,23,7,7 to 8,N,,,,
u,,no data,,,,,,
v,,,,,,,,
w,23,12,7 to 8,N,,,,
x,23,3,7 to 8,N,,,,
y,23,1,7 to 8,N,,,,
z,23,1,7 to 8,N,,,,
aa,,no data,,,,,,
bb,,,,,,,,
cc,23,7,7 to 8,N,,,,
dd,23,10,7 to 8,N,,,,
ee,23,23,7 to 8,N,,,,
ff,23,17,7 to 8,N,,,,
gg,23,40,7 to 8,N,,,,
hh,23,33,7 to 8,N,,,,
ii,,no data,,,,,,
jj,,,,,,,,
