,,,,,,,,
temp,embryos,time,stage,expected_time,,,,
18,5,24,11 to 11.5,12.13,,,,
18,5,24,12 to 11.5,13.13,,,,
18,5,24,13 to 11.5,14.13,,,,
18,5,24,14 to 11.5,15.13,,,,
18,5,24,15 to 11.5,16.13,,,,
18,21,24,12 to 12.5,13.75,,,,
18,21,24,13 to 12.5,14.75,,,,
18,21,24,14 to 12.5,15.75,,,,
18,21,24,15 to 12.5,16.75,,,,
18,21,24,16 to 12.5,17.75,,,,
18,21,24,17 to 12.5,18.75,,,,
18,21,24,18 to 12.5,19.75,,,,
18,21,24,19 to 12.5,20.75,,,,
18,21,24,20 to 12.5,21.75,,,,
18,21,24,21 to 12.5,22.75,,,,
18,21,24,22 to 12.5,23.75,,,,
18,21,24,23 to 12.5,24.75,,,,
18,21,24,24 to 12.5,25.75,,,,
18,21,24,25 to 12.5,26.75,,,,
18,21,24,26 to 12.5,27.75,,,,
18,21,24,27 to 12.5,28.75,,,,
18,21,24,28 to 12.5,29.75,,,,
18,21,24,29 to 12.5,30.75,,,,
18,21,24,30 to 12.5,31.75,,,,
18,21,24,31 to 12.5,32.75,,,,
18,21,24,32 to 12.5,33.75,,,,
23,17,24,19 to 20,21.25,,,,
23,17,24,20 to 20,22.25,,,,
23,17,24,21 to 20,23.25,,,,
23,17,24,22 to 20,24.25,,,,
23,17,24,23 to 20,25.25,,,,
23,17,24,24 to 20,26.25,,,,
23,17,24,25 to 20,27.25,,,,
23,17,24,26 to 20,28.25,,,,
23,17,24,27 to 20,29.25,,,,
23,17,24,28 to 20,30.25,,,,
23,17,24,29 to 20,31.25,,,,
23,17,24,30 to 20,32.25,,,,
23,17,24,31 to 20,33.25,,,,
23,17,24,32 to 20,34.25,,,,
23,17,24,33 to 20,35.25,,,,
23,17,24,34 to 20,36.25,,,,
23,17,24,35 to 20,37.25,,,,
18,5,48,22 to 24,25.13,,,,
18,5,48,23 to 24,26.13,,,,
18,5,48,24 to 24,27.13,,,,
18,5,48,25 to 24,28.13,,,,
18,5,48,26 to 24,29.13,,,,
18,2,48,18 to 19,20.25,,,,
18,2,48,18 to 19,20.25,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,16,48,22 to 24,25.13,,,,
18,2,48,24,26.25,,,,
18,2,48,24,26.25,,,,
23,6,48,33 to 34,44.5,,,,
23,6,48,33 to 34,44.5,,,,
23,6,48,33 to 34,44.5,,,,
23,6,48,33 to 34,44.5,,,,
23,6,48,33 to 34,44.5,,,,
23,6,48,33 to 34,44.5,,,,
23,11,48,33 to 35,47.25,,,,
23,11,48,34 to 35,48.25,,,,
23,11,48,35 to 35,49.25,,,,
23,11,48,36 to 35,50.25,,,,
23,11,48,37 to 35,51.25,,,,
23,11,48,38 to 35,52.25,,,,
23,11,48,39 to 35,53.25,,,,
23,11,48,40 to 35,54.25,,,,
23,11,48,41 to 35,55.25,,,,
23,11,48,42 to 35,56.25,,,,
23,11,48,43 to 35,57.25,,,,
18,5,72,33 to 34,44.5,,,,
18,5,72,33 to 34,44.5,,,,
18,5,72,33 to 34,44.5,,,,
18,5,72,33 to 34,44.5,,,,
18,5,72,33 to 34,44.5,,,,
23,6,72,42,80,,,,
23,6,72,42,80,,,,
23,6,72,42,80,,,,
23,6,72,42,80,,,,
23,6,72,42,80,,,,
23,6,72,42,80,,,,
