,,,,,,,,
temp,embryos,stage,time,expected_time,,,,
18,5,11 to 11.5,24,12.13,,,,
18,21,12 to 12.5,24,13.75,,,,
23,17,19 to 20,24,21.25,,,,
18,5,22 to 24,48,25.13,,,,
18,2,18 to 19,48,20.25,,,,
18,16,22 to 24,48,25.13,,,,
18,2,24,48,26.25,,,,
23,6,33 to 34,48,44.5,,,,
23,11,33 to 35,48,47.25,,,,
18,5,33 to 34,72,44.5,,,,
23,6,42,72,80,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
