,,,,,,,,
Lab_section,Time,temp,embyos,embryos_percent,Max_developmental_stage_reached,Any_notable_features,Surviving_at_24,stage
L02,24,18,5,0.008375209,11to11.5,yolk plug sometimes visible,Y,11.25
L03,24,18,21,0.035175879,12to12.5,late gastrula / early neurula (see signs of neural plate),Y,12.25
L02,24,23,6,0.010714286,19to20,"clear signs of neurulation, elongation of embryo (no longer spherical)",Y,19.5
L03,24,23,11,0.019642857,19to20,end of neurulation,Y,19.5
L02,48,18,5,0.008375209,22to24,"clear signs of elongation, body axes formation",Y,23
L03,48,18,2,0.003350084,18to19,,Y,18.5
L03,48,18,16,0.02680067,22to24,visibly elongated,Y,23
L03,48,18,2,0.003350084,24,,Y,24
L02,48,23,6,0.010714286,33to34,,Y,33.5
L03,48,23,11,0.019642857,33to35,,Y,34
L02,72,18,5,0.008375209,33to34,,Y,33.5
L02,72,23,6,0.010714286,42,,Y,42
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
